date,layer,b0,b1
2026-07-19,L1,0,0
2026-07-19,L2,0,0
2026-07-19,L3,2,2
2026-07-19,total,2,2
2026-07-20,L1,0,0
2026-07-20,L2,0,0
2026-07-20,L3,24,10
2026-07-20,total,24,10
2026-07-21,L1,0,0
2026-07-21,L2,0,0
2026-07-21,L3,25,9
2026-07-21,total,25,9
2026-07-22,L1,0,0
2026-07-22,L2,0,0
2026-07-22,L3,25,9
2026-07-22,total,25,9
2026-07-23,L1,2,2
2026-07-23,L2,16,22
2026-07-23,L3,26,10
2026-07-23,total,44,34
2026-07-24,L1,6,6
2026-07-24,L2,6,8
2026-07-24,L3,34,16
2026-07-24,total,46,30
2026-07-25,L1,30,30
2026-07-25,L2,0,0
2026-07-25,L3,34,17
2026-07-25,total,64,47
2026-07-26,L1,4,4
2026-07-26,L2,31,44
2026-07-26,L3,30,12
2026-07-26,total,65,60
2026-07-27,L1,4,4
2026-07-27,L2,27,38
2026-07-27,L3,30,12
2026-07-27,total,61,54
2026-07-28,L1,4,4
2026-07-28,L2,26,32
2026-07-28,L3,32,14
2026-07-28,total,62,50
2026-07-29,L1,4,4
2026-07-29,L2,26,32
2026-07-29,L3,32,12
2026-07-29,total,62,48
2026-07-30,L1,4,4
2026-07-30,L2,25,30
2026-07-30,L3,33,13
2026-07-30,total,62,47
2026-07-31,L1,6,6
2026-07-31,L2,25,32
2026-07-31,L3,24,14
2026-07-31,total,55,52
2026-08-01,L1,4,4
2026-08-01,L2,26,32
2026-08-01,L3,32,12
2026-08-01,total,62,48
2026-08-02,L1,4,4
2026-08-02,L2,27,34
2026-08-02,L3,31,11
2026-08-02,total,62,49
2026-08-03,L1,4,4
2026-08-03,L2,25,30
2026-08-03,L3,32,10
2026-08-03,total,61,44
2026-08-04,L1,4,4
2026-08-04,L2,24,26
2026-08-04,L3,33,11
2026-08-04,total,61,41
2026-08-05,L1,6,6
2026-08-05,L2,25,26
2026-08-05,L3,33,11
2026-08-05,total,64,43
2026-08-06,L1,5,5
2026-08-06,L2,28,30
2026-08-06,L3,33,11
2026-08-06,total,66,46
2026-08-07,L1,9,9
2026-08-07,L2,29,38
2026-08-07,L3,33,11
2026-08-07,total,71,58
2026-08-08,L1,4,4
2026-08-08,L2,25,26
2026-08-08,L3,33,11
2026-08-08,total,62,41
2026-08-09,L1,3,3
2026-08-09,L2,25,38
2026-08-09,L3,32,10
2026-08-09,total,60,51
2026-08-10,L1,10,10
2026-08-10,L2,25,34
2026-08-10,L3,31,9
2026-08-10,total,66,53
2026-08-11,L1,0,0
2026-08-11,L2,24,36
2026-08-11,L3,33,11
2026-08-11,total,57,47
2026-08-12,L1,2,2
2026-08-12,L2,34,46
2026-08-12,L3,30,8
2026-08-12,total,66,56
2026-08-13,L1,3,3
2026-08-13,L2,0,0
2026-08-13,L3,32,10
2026-08-13,total,35,13
2026-08-14,L1,9,9
2026-08-14,L2,0,0
2026-08-14,L3,33,14
2026-08-14,total,42,23
2026-08-15,L1,1,1
2026-08-15,L2,24,34
2026-08-15,L3,33,12
2026-08-15,total,58,47
2026-08-16,L1,8,8
2026-08-16,L2,25,36
2026-08-16,L3,32,10
2026-08-16,total,65,54
