time,monitor,status,msg,duration_s,note
2026-07-22 19:00:48.082,Open WebUI,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle_dependent
2026-07-22 19:02:44.670,pve1,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle
2026-07-23 05:02:26.552,pve1,1,200 - OK,63,scheduled_power_cycle
2026-07-23 05:03:35.715,Open WebUI,1,200 - OK,60,scheduled_power_cycle_dependent
2026-07-23 13:26:45.074,Open WebUI,0,connect EHOSTUNREACH <host>:<port>,60,real_incident
2026-07-23 14:44:09.639,Open WebUI,1,200 - OK,60,real_incident
2026-07-23 19:00:14.650,Open WebUI,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle_dependent
2026-07-23 19:03:25.204,pve1,0,connect EHOSTUNREACH <host>:<port>,74,scheduled_power_cycle
2026-07-24 05:01:52.852,pve1,1,200 - OK,63,scheduled_power_cycle
2026-07-24 05:04:05.630,Open WebUI,1,200 - OK,60,scheduled_power_cycle_dependent
2026-07-24 09:12:52.974,Open WebUI,0,connect ECONNREFUSED <host>:<port>,1721,real_incident
2026-07-24 09:13:53.325,Open WebUI,1,200 - OK,60,real_incident
2026-07-24 09:20:53.705,Open WebUI,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle_dependent
2026-07-24 09:23:03.988,pve1,0,connect EHOSTUNREACH <host>:<port>,63,real_incident
2026-07-24 09:23:04.437,pve2,0,connect EHOSTUNREACH <host>:<port>,63,real_incident
2026-07-24 09:23:04.564,pbs,0,connect EHOSTUNREACH <host>:<port>,63,real_incident
2026-07-24 09:23:06.420,TrueNAS,0,connect EHOSTUNREACH <host>:<port>,63,real_incident
2026-07-24 09:23:06.555,pi-hole,0,connect EHOSTUNREACH <host>:<port>,63,real_incident
2026-07-24 09:23:07.828,Grafana,0,connect EHOSTUNREACH <host>:<port>,63,real_incident
2026-07-24 09:23:08.595,ntfy,0,connect EHOSTUNREACH <host>:<port>,63,real_incident
2026-07-24 09:23:09.493,NPM,0,connect EHOSTUNREACH <host>:<port>,63,real_incident
2026-07-24 09:23:23.189,pfSense,0,connect EHOSTUNREACH <host>:<port>,63,real_incident
2026-07-24 09:24:10.182,pve1,1,200 - OK,66,real_incident
2026-07-24 09:24:10.183,pve2,1,200 - OK,65,real_incident
2026-07-24 09:24:10.185,pbs,1,200 - OK,65,real_incident
2026-07-24 09:24:10.188,TrueNAS,1,200 - OK,63,real_incident
2026-07-24 09:24:10.188,pi-hole,1,200 - OK,63,real_incident
2026-07-24 09:24:13.245,ntfy,1,200 - OK,64,real_incident
2026-07-24 09:24:13.249,Grafana,1,200 - OK,65,real_incident
2026-07-24 09:24:13.249,NPM,1,200 - OK,63,real_incident
2026-07-24 09:24:17.267,Open WebUI,1,200 - OK,63,scheduled_power_cycle_dependent
2026-07-24 09:24:27.535,pfSense,1,200 - OK,64,real_incident
2026-07-24 10:48:04.723,pfSense,0,connect EHOSTUNREACH <host>:<port>,63,real_incident
2026-07-24 10:51:14.229,pfSense,1,200 - OK,63,real_incident
2026-07-24 10:54:32.501,pfSense,0,connect EHOSTUNREACH <host>:<port>,63,real_incident
2026-07-24 10:55:35.825,pfSense,1,200 - OK,63,real_incident
2026-07-24 19:00:55.576,Open WebUI,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle_dependent
2026-07-24 19:02:52.360,pve1,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle
2026-07-25 12:47:15.060,pve1,1,200 - OK,63,scheduled_power_cycle
2026-07-25 12:48:35.682,Open WebUI,1,200 - OK,60,scheduled_power_cycle_dependent
2026-07-25 14:00:40.863,Open WebUI,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle_dependent
2026-07-25 14:02:34.943,pve1,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle
2026-07-26 12:46:55.092,pve1,1,200 - OK,63,scheduled_power_cycle
2026-07-26 12:49:06.465,Open WebUI,1,200 - OK,60,scheduled_power_cycle_dependent
2026-07-26 14:00:39.435,Open WebUI,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle_dependent
2026-07-26 14:02:33.001,pve1,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle
2026-07-27 05:02:01.268,pve1,1,200 - OK,63,scheduled_power_cycle
2026-07-27 05:04:12.677,Open WebUI,1,200 - OK,60,scheduled_power_cycle_dependent
2026-07-27 19:00:49.557,Open WebUI,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle_dependent
2026-07-27 19:02:46.174,pve1,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle
2026-07-28 05:02:27.614,pve1,1,200 - OK,62,scheduled_power_cycle
2026-07-28 05:03:36.609,Open WebUI,1,200 - OK,60,scheduled_power_cycle_dependent
2026-07-28 19:00:44.594,Open WebUI,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle_dependent
2026-07-28 19:02:41.352,pve1,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle
2026-07-29 05:02:23.284,pve1,1,200 - OK,63,scheduled_power_cycle
2026-07-29 05:03:31.554,Open WebUI,1,200 - OK,60,scheduled_power_cycle_dependent
2026-07-29 19:00:49.006,Open WebUI,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle_dependent
2026-07-29 19:02:44.977,pve1,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle
2026-07-30 05:02:27.508,pve1,1,200 - OK,63,scheduled_power_cycle
2026-07-30 05:03:36.419,Open WebUI,1,200 - OK,60,scheduled_power_cycle_dependent
2026-07-30 12:09:40.084,TrueNAS,0,connect EHOSTUNREACH <host>:<port>,63,real_incident
2026-07-30 12:11:46.485,TrueNAS,1,200 - OK,63,real_incident
2026-07-30 19:00:54.546,Open WebUI,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle_dependent
2026-07-30 19:02:51.047,pve1,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle
2026-07-31 05:02:21.236,pve1,1,200 - OK,63,scheduled_power_cycle
2026-07-31 05:03:41.987,Open WebUI,1,200 - OK,60,scheduled_power_cycle_dependent
2026-07-31 19:00:45.645,Open WebUI,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle_dependent
2026-07-31 19:02:43.567,pve1,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle
2026-08-01 12:47:18.133,pve1,1,200 - OK,63,scheduled_power_cycle
2026-08-01 12:48:25.377,Open WebUI,1,200 - OK,60,scheduled_power_cycle_dependent
2026-08-01 14:00:49.932,Open WebUI,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle_dependent
2026-08-01 14:02:42.142,pve1,0,connect EHOSTUNREACH <host>:<port>,60,scheduled_power_cycle
2026-08-02 12:47:01.813,pve1,1,200 - OK,63,scheduled_power_cycle
2026-08-02 12:49:15.525,Open WebUI,1,200 - OK,60,scheduled_power_cycle_dependent
