time,host,worker_type,status,worker_id
2026-06-26 22:00:00,pbs,logrotate,OK,
2026-06-27 03:19:46,pbs,aptupdate,OK,
2026-06-27 07:35:57,pbs,backup,OK,backup-store:ct/101
2026-06-27 13:00:07,pbs,backup,OK,backup-store:vm/100
2026-06-27 13:00:35,pbs,prune,OK,backup-store::vm/100
2026-06-27 13:01:42,pbs,backup,OK,backup-store:ct/101
2026-06-27 13:02:18,pbs,prune,OK,backup-store::ct/101
2026-06-27 13:02:25,pbs,backup,OK,backup-store:ct/102
2026-06-27 13:03:04,pbs,prune,OK,backup-store::ct/102
2026-06-27 13:03:07,pbs,backup,OK,backup-store:ct/103
2026-06-27 13:03:25,pbs,prune,OK,backup-store::ct/103
2026-06-27 13:03:27,pbs,backup,OK,backup-store:ct/104
2026-06-27 13:04:25,pbs,prune,OK,backup-store::ct/104
2026-06-27 13:04:27,pbs,backup,OK,backup-store:vm/105
2026-06-27 13:12:18,pbs,prune,OK,backup-store::vm/105
2026-06-27 22:00:00,pbs,logrotate,OK,
2026-06-28 01:43:46,pbs,aptupdate,OK,
2026-06-28 10:08:09,pbs,backup,OK,backup-store:ct/107
2026-06-28 10:09:29,pbs,backup,OK,backup-store:ct/108
2026-06-28 10:17:14,pbs,verify_group,OK,backup-store:/ct/107
2026-06-28 10:17:24,pbs,verify_group,OK,backup-store:/ct/108
2026-06-28 10:17:32,pbs,verify_group,OK,backup-store:/vm/105
2026-06-28 10:18:08,pbs,verify_group,OK,backup-store:/ct/108
2026-06-28 10:18:16,pbs,verify_group,OK,backup-store:/vm/105
2026-06-28 13:00:17,pbs,backup,OK,backup-store:vm/100
2026-06-28 13:00:28,pbs,prune,OK,backup-store::vm/100
2026-06-28 13:01:28,pbs,backup,OK,backup-store:ct/101
2026-06-28 13:02:05,pbs,prune,OK,backup-store::ct/101
2026-06-28 13:02:13,pbs,backup,OK,backup-store:ct/102
2026-06-28 13:02:52,pbs,prune,OK,backup-store::ct/102
2026-06-28 13:02:54,pbs,backup,OK,backup-store:ct/103
2026-06-28 13:03:12,pbs,prune,OK,backup-store::ct/103
2026-06-28 13:03:14,pbs,backup,OK,backup-store:ct/104
2026-06-28 13:04:12,pbs,prune,OK,backup-store::ct/104
2026-06-28 13:04:13,pbs,backup,OK,backup-store:vm/105
2026-06-28 13:04:27,pbs,prune,OK,backup-store::vm/105
2026-06-28 13:04:29,pbs,backup,OK,backup-store:ct/106
2026-06-28 13:04:54,pbs,prune,OK,backup-store::ct/106
2026-06-28 13:30:13,pbs,backup,OK,backup-store:ct/107
2026-06-28 13:30:24,pbs,prune,OK,backup-store::ct/107
2026-06-28 13:30:31,pbs,backup,OK,backup-store:ct/108
2026-06-28 13:30:40,pbs,prune,OK,backup-store::ct/108
2026-06-28 22:00:00,pbs,logrotate,OK,
2026-06-28 22:00:00,pbs,verificationjob,OK,backup-store:v-b5f91a7c-6660
2026-06-28 23:52:04,pbs,aptupdate,OK,
2026-06-29 13:00:10,pbs,backup,OK,backup-store:vm/100
2026-06-29 13:00:22,pbs,prune,OK,backup-store::vm/100
2026-06-29 13:01:27,pbs,backup,OK,backup-store:ct/101
2026-06-29 13:02:08,pbs,prune,OK,backup-store::ct/101
2026-06-29 13:02:15,pbs,backup,OK,backup-store:ct/102
2026-06-29 13:02:54,pbs,prune,OK,backup-store::ct/102
2026-06-29 13:02:56,pbs,backup,OK,backup-store:ct/103
2026-06-29 13:03:15,pbs,prune,OK,backup-store::ct/103
2026-06-29 13:03:17,pbs,backup,OK,backup-store:ct/104
2026-06-29 13:04:13,pbs,prune,OK,backup-store::ct/104
2026-06-29 13:04:15,pbs,backup,OK,backup-store:vm/105
2026-06-29 13:04:23,pbs,prune,OK,backup-store::vm/105
2026-06-29 13:04:24,pbs,backup,OK,backup-store:ct/106
2026-06-29 13:04:38,pbs,prune,OK,backup-store::ct/106
2026-06-29 13:30:08,pbs,backup,OK,backup-store:ct/107
2026-06-29 13:30:19,pbs,prune,OK,backup-store::ct/107
2026-06-29 13:30:27,pbs,backup,OK,backup-store:ct/108
2026-06-29 13:30:36,pbs,prune,OK,backup-store::ct/108
2026-06-29 22:00:00,pbs,logrotate,OK,
2026-06-29 22:00:00,pbs,verificationjob,OK,backup-store:v-b5f91a7c-6660
2026-06-30 00:36:04,pbs,aptupdate,OK,
2026-06-30 13:00:20,pbs,backup,OK,backup-store:vm/100
2026-06-30 13:00:37,pbs,prune,OK,backup-store::vm/100
2026-06-30 13:01:17,pbs,backup,OK,backup-store:ct/101
2026-06-30 13:02:03,pbs,prune,OK,backup-store::ct/101
2026-06-30 13:02:11,pbs,backup,OK,backup-store:ct/102
2026-06-30 13:02:50,pbs,prune,OK,backup-store::ct/102
2026-06-30 13:02:53,pbs,backup,OK,backup-store:ct/103
2026-06-30 13:03:11,pbs,prune,OK,backup-store::ct/103
2026-06-30 13:03:13,pbs,backup,OK,backup-store:ct/104
2026-06-30 13:04:11,pbs,prune,OK,backup-store::ct/104
2026-06-30 13:04:12,pbs,backup,OK,backup-store:vm/105
2026-06-30 13:04:40,pbs,prune,OK,backup-store::vm/105
2026-06-30 13:04:42,pbs,backup,OK,backup-store:ct/106
2026-06-30 13:04:54,pbs,prune,OK,backup-store::ct/106
2026-06-30 13:30:12,pbs,backup,OK,backup-store:ct/107
2026-06-30 13:30:23,pbs,prune,OK,backup-store::ct/107
2026-06-30 13:30:31,pbs,backup,OK,backup-store:ct/108
2026-06-30 13:30:40,pbs,prune,OK,backup-store::ct/108
2026-06-30 22:00:00,pbs,logrotate,OK,
2026-06-30 22:00:00,pbs,verificationjob,OK,backup-store:v-b5f91a7c-6660
2026-07-01 03:49:04,pbs,aptupdate,OK,
2026-07-01 13:00:02,pbs,backup,OK,backup-store:vm/100
2026-07-01 13:01:38,pbs,backup,OK,backup-store:ct/101
2026-07-01 13:02:09,pbs,prune,OK,backup-store::ct/101
2026-07-01 13:02:17,pbs,backup,OK,backup-store:ct/102
2026-07-01 13:02:56,pbs,prune,OK,backup-store::ct/102
2026-07-01 13:02:58,pbs,backup,OK,backup-store:ct/103
2026-07-01 13:03:17,pbs,prune,OK,backup-store::ct/103
2026-07-01 13:03:19,pbs,backup,OK,backup-store:ct/104
2026-07-01 13:03:41,pbs,prune,OK,backup-store::vm/100
2026-07-01 13:04:19,pbs,prune,OK,backup-store::ct/104
2026-07-01 13:04:21,pbs,backup,OK,backup-store:vm/105
2026-07-01 13:08:40,pbs,prune,OK,backup-store::vm/105
2026-07-01 13:08:41,pbs,backup,OK,backup-store:ct/106
2026-07-01 13:08:53,pbs,prune,OK,backup-store::ct/106
2026-07-01 13:30:08,pbs,backup,OK,backup-store:ct/107
2026-07-01 13:30:29,pbs,prune,OK,backup-store::ct/107
2026-07-01 13:30:37,pbs,backup,OK,backup-store:ct/108
2026-07-01 13:30:53,pbs,prune,OK,backup-store::ct/108
2026-07-01 22:00:00,pbs,logrotate,OK,
2026-07-01 22:00:00,pbs,verificationjob,OK,backup-store:v-b5f91a7c-6660
2026-07-02 13:00:01,pbs,backup,OK,backup-store:vm/100
2026-07-02 13:02:01,pbs,backup,OK,backup-store:ct/101
2026-07-02 13:02:33,pbs,prune,OK,backup-store::ct/101
2026-07-02 13:02:41,pbs,backup,OK,backup-store:ct/102
2026-07-02 13:03:38,pbs,prune,OK,backup-store::ct/102
2026-07-02 13:03:38,pbs,prune,OK,backup-store::vm/100
2026-07-02 13:03:40,pbs,backup,OK,backup-store:ct/103
2026-07-02 13:04:06,pbs,prune,OK,backup-store::ct/103
2026-07-02 13:04:08,pbs,backup,OK,backup-store:ct/104
2026-07-02 13:05:34,pbs,prune,OK,backup-store::ct/104
2026-07-02 13:05:36,pbs,backup,OK,backup-store:vm/105
2026-07-02 13:12:46,pbs,prune,OK,backup-store::vm/105
2026-07-02 13:12:47,pbs,backup,OK,backup-store:ct/106
2026-07-02 13:13:09,pbs,prune,OK,backup-store::ct/106
2026-07-02 13:30:09,pbs,backup,OK,backup-store:ct/107
2026-07-02 13:30:30,pbs,prune,OK,backup-store::ct/107
2026-07-02 13:30:38,pbs,backup,OK,backup-store:ct/108
2026-07-02 13:30:55,pbs,prune,OK,backup-store::ct/108
2026-07-02 13:38:42,pbs,aptupdate,OK,
2026-07-02 22:00:00,pbs,logrotate,OK,
2026-07-02 22:00:00,pbs,verificationjob,OK,backup-store:v-b5f91a7c-6660
2026-07-03 00:24:25,pbs,aptupdate,OK,
2026-07-03 13:30:09,pbs,backup,OK,backup-store:ct/107
2026-07-03 13:30:30,pbs,prune,OK,backup-store::ct/107
2026-07-03 13:30:37,pbs,backup,OK,backup-store:ct/108
2026-07-03 13:30:54,pbs,prune,OK,backup-store::ct/108
2026-07-03 22:00:00,pbs,logrotate,OK,
2026-07-04 01:59:25,pbs,aptupdate,OK,
2026-07-04 13:00:14,pbs,backup,OK,backup-store:vm/100
2026-07-04 13:02:00,pbs,backup,OK,backup-store:ct/101
2026-07-04 13:02:38,pbs,prune,OK,backup-store::ct/101
2026-07-04 13:02:46,pbs,backup,OK,backup-store:ct/102
